# Nodes along line:
#    origin = (0.0000, 2.0000, 0.0000)
#    direction = (100.0000, 0.0000, 0.0000)
# Time = 49.9718
#
#position HEIGHT FREE_SURFACE_ELEVATION TOPOGRAPHY MOMENTUM_X MOMENTUM_Y MOMENTUM_Z VELOCITY_X VELOCITY_Y VELOCITY_Z 
0.0 2.999874158569411 -0.00012584143058891328 -3.0 -0.0006667183767988514 0.0 0.0 -0.0007092430565161682 -3.704448379371886e-07 0.0 
1.0 2.999049636298554 -0.0009503637014458555 -3.0 -0.005015375293145352 7.5650887933519304e-06 0.0 -0.0016582550505981578 3.183102877247569e-06 0.0 
2.0 2.998314170841389 -0.0016858291586108187 -3.0 -0.00909332227856603 4.1085144928229896e-05 0.0 -0.0030015507747720156 8.392897447891255e-06 0.0 
3.0 2.99765648504369 -0.0023435149563098 -3.0 -0.012598488250006482 -4.780334197488368e-05 0.0 -0.004173154939678369 -3.9968339908569215e-06 0.0 
4.0 2.9971314582451045 -0.0028685417548954817 -3.0 -0.015551748418417492 5.694714206715823e-05 0.0 -0.005133416103680556 6.860216901307734e-06 0.0 
5.0 2.996765446481812 -0.0032345535181881324 -3.0 -0.0174909194268565 -5.5352153423788507e-05 0.0 -0.005797735705827127 -5.717351886798731e-06 0.0 
6.0 2.9965658349330653 -0.0034341650669347246 -3.0 -0.018660968500015935 5.2253864717462825e-05 0.0 -0.0061660074005355425 5.754112960412613e-06 0.0 
7.0 2.996577840063151 -0.003422159936849134 -3.0 -0.018702040159001294 -4.5851915415581606e-05 0.0 -0.006188115596971476 -5.0477466385636275e-06 0.0 
8.0 2.9967363859237444 -0.0032636140762556387 -3.0 -0.017769611404439906 3.8352990833776566e-05 0.0 -0.0058814135739310635 4.1862298708575116e-06 0.0 
9.0 2.99711603221138 -0.002883967788620101 -3.0 -0.015893919671664584 -3.066533157907676e-05 0.0 -0.005258083223975147 -3.4916984223338885e-06 0.0 
10.0 2.9976154038502503 -0.0023845961497497292 -3.0 -0.01317818725710959 2.232733965507708e-05 0.0 -0.004355450099894134 2.362017740545815e-06 0.0 
11.0 2.998264611612993 -0.001735388387007042 -3.0 -0.009700076626051692 -1.3766306801925348e-05 0.0 -0.0032154480211340312 -1.544275089065305e-06 0.0 
12.0 2.99899292890897 -0.0010070710910299319 -3.0 -0.005778691422497175 5.6053570995567675e-06 0.0 -0.0019117349905252176 5.409058516072718e-07 0.0 
13.0 2.99979228114054 -0.00020771885946002655 -3.0 -0.0015356349485680565 1.5417863649768315e-06 0.0 -0.0005070109484383265 1.3384132257891935e-07 0.0 
14.0 3.000579287426445 0.0005792874264449743 -3.0 0.002842854350902374 -5.7382155660724055e-06 0.0 0.0009281116831473422 -5.760941687006032e-07 0.0 
15.0 3.0013596386246966 0.0013596386246965686 -3.0 0.006976888212074665 9.51149236368419e-06 0.0 0.002303819187924291 1.0723179320937635e-06 0.0 
16.0 3.002055656363188 0.002055656363188163 -3.0 0.010804217997738837 -1.0954838871905937e-05 0.0 0.003562282105975974 -1.130850124481225e-06 0.0 
17.0 3.002643449511214 0.00264344951121398 -3.0 0.014041758402553282 1.4272880849689941e-05 0.0 0.004628583702258326 1.7035686071132682e-06 0.0 
18.0 3.003099470381557 0.0030994703815570013 -3.0 0.016524437882668296 -1.454655362704287e-05 0.0 0.005448522371520646 -1.4571204196850265e-06 0.0 
19.0 3.0033861912076523 0.003386191207652267 -3.0 0.01811728593621217 1.557617348655008e-05 0.0 0.005976276767997935 1.8278091366772323e-06 0.0 
20.0 3.0034946560583395 0.0034946560583395403 -3.0 0.01878087302330761 -1.250224425754322e-05 0.0 0.006188566440994812 -1.1827436019472115e-06 0.0 
21.0 3.003417713109302 0.0034177131093020563 -3.0 0.018383800494471844 1.068235600255984e-05 0.0 0.0060635580739164694 1.297460810715177e-06 0.0 
22.0 3.0031611222641232 0.0031611222641232395 -3.0 0.01703154922856362 -7.707616961690225e-06 0.0 0.005615009197805457 -7.365183559027417e-07 0.0 
23.0 3.002727923051019 0.0027279230510188768 -3.0 0.014741286787889303 6.38006190813916e-06 0.0 0.004860387885322437 7.860506331212681e-07 0.0 
24.0 3.002157248708897 0.002157248708896997 -3.0 0.011645367481012516 -5.2425046854975736e-06 0.0 0.00384080904802025 -5.354829866116599e-07 0.0 
25.0 3.001462498286864 0.0014624982868638448 -3.0 0.007921263334947333 2.830869403962594e-06 0.0 0.0026115298547759722 2.8450061518280993e-07 0.0 
26.0 3.000696373929439 0.0006963739294389981 -3.0 0.0037540020956627973 -1.5979230499122082e-06 0.0 0.0012380583256103998 -2.402481704285425e-07 0.0 
27.0 2.9998903512756767 -0.00010964872432328576 -3.0 -0.0006082309708868548 -1.8846606287276246e-06 0.0 -0.0002024359465381879 -3.074546539064596e-07 0.0 
28.0 2.99909615840426 -0.0009038415957398627 -3.0 -0.004932459476696156 1.664550486898407e-06 0.0 -0.0016311544803032433 2.042495610550702e-08 0.0 
29.0 2.998355264192851 -0.001644735807149189 -3.0 -0.008986352260918292 -3.9881222642539204e-06 0.0 -0.002969215744076719 -6.168519175571785e-07 0.0 
